sceneId,className,methodName,sumDuration,times
10,ProductInStockingPointInPeriod,end,122,41706
10,NewSupply,resourceReason,108,27897
10,ProductInStockingPoint,minServiceLevelDemandQuantity,35,5958
10,PeriodTask,baseCostPerQuantity,131,27741
10,ProductInStockingPointInPeriod,detectingReleaseInventories,154,41706
10,ProductInStockingPointInPeriod,inventoryLevelEnd,367,41706
10,PeriodTask,periodTasksOnPRS,112,27741
10,UnitPeriodTime,isPlannedInfinite,5,1330
10,SupplyChainUnit,parentUnit,1,195
10,ProductInStockingPoint,currentInventories,51,5958
10,Product,productionRoutings,18,1991
10,ProductInStockingPointInPeriod,planOrderQuantity,93,41706
10,SupplyChainPlanner,isTestFreeToProductsMap,5,1
10,SupplyChainPlanner,productRoutingIdWithPvToProductRoutingMap,10,1
10,ProductInStockingPointInPeriod,detectingReleaseQuantity,126,41706
10,Period,startDate,0,7
10,Period,canBeReleased,0,7
10,ProductInStockingPoint,isFinishedProductStockingPoint,22,5958
10,SupplyChainUnit,unitAvailabilities,1,195
10,NewSupply,productId,106,27897
10,UnitPeriodTime,availableExtraCapacityDuration,5,1330
10,PeriodTask,minOrderQuantity,75,27741
10,UnitPeriodTime,remainNormalCapacityDuration,3,1330
10,UnitPeriodTime,startDate,7,1330
10,Product,supplyChainId,10,1991
10,ProductInStockingPoint,productionRoutings,36,5958
10,ProductInStockingPoint,stockingPointId,26,5958
10,ProductRouting,billOfMaterials,33,3963
10,SupplyChainPlanner,ownerToNewSuppliesMap,97,1
10,SupplyChainPlanner,ownerToUnitPeriodMap,4,1
10,UnitCapacity,shiftPattern,0,4
10,Product,hasChild,18,1991
10,PeriodTask,isBeforeStartOfPlanningHorizon,108,27741
10,NewSupply,materialReason,85,27897
10,SupplyChainPlanner,ownerToUnitPeriodTimeMap,2,1
10,PeriodDefinition,next,0,1
10,PeriodTask,allowedUnit,69,27741
10,ProductInStockingPointInPeriod,childrenPISPIP,1255,41706
10,PeriodDefinition,lastPeriod,0,1
10,DependentDemand,inventoryInfoFromPispip,59,20797
10,SupplyChainPlanner,pispip2ddMap,64,1
10,PeriodTask,costPerQuantity,38,27741
10,ProductInStockingPointInPeriod,stockingPoint,122,41706
10,ProductRouting,periodTasks,44,3963
10,ProductRoutingStepOnUnit,allowedUnitName,23,3963
10,ProductInStockingPointInPeriod,detectInventoryLevelEnd,174,41706
10,ProductRoutingStep,hasNoInputAndOutputs,10,3963
10,ProductInStockingPointInPeriod,releasePISPIP,488,41706
10,UnitPeriodInfinite,duration,0,35
10,ProductInStockingPointInPeriod,targetlnventorySpecification,229,41706
10,UnitPeriodTime,parentUnitId,3,1330
10,ProductInStockingPoint,isMaterialConstraint,18,5958
10,SupplyChainPlanner,isFinishedProductInGroupToProductsMap,5,1
10,UnitPeriodTime,isRemainNormalCapacityZero,5,1330
10,PeriodTask,pispipsForDependentDemand,150,27741
10,ProductInStockingPoint,targetInventorySpecifications,43,5958
10,SupplyChainPlanner,productRoutingIdWithoutPvToProductRoutingMap,3,1
10,PeriodTask,quantityOut,145,27741
10,Product,mapOfMaterialDuration,57,1991
10,ProductStatisticLevel,parentStatisticAttribute,0,1
10,UnitPeriodTime,availableNormalCapacityDuration,11,1330
10,InputOutputProduct,productRoutingStepId,37,6934
10,ProductInStockingPointInPeriod,next,161,41706
10,SupplyChainUnit,childrenUnit,6,195
10,ProductRoutingStepOnUnit,allowedUnitId,28,3963
10,Product,childrenProduct,6416,1991
10,SupplyChainUnit,oee,3,195
10,ProductInStockingPoint,salesOrders,28,5958
10,SupplyChainPlanner,productIdToProductsMap,6,1
10,UnitPeriodTime,capacityLoadPercentage,8,1330
10,ProductRouting,lotSize,9,3963
10,ProductInStockingPoint,originalSalesDemandQuantityForN2,20,5958
10,ProductInStockingPoint,originalSalesDemandQuantityForN3,21,5958
10,ProductInStockingPoint,stockingPointName,263,5958
10,ProductInStockingPoint,originalSalesDemandQuantityForN1,26,5958
10,UnitPeriodInfinite,childUnitPeriods,0,35
10,ProductInStockingPointInPeriod,minInputQuantity,122,41706
10,ProductRoutingStep,isLast,12,3963
10,UnitPeriodTime,capacityType,4,1330
10,ProductInStockingPointInPeriod,laterFulfilledDemandQuantityForOG,227,41706
10,UnitPeriodTime,start,4,1330
10,SupplyChainPlanner,end,0,1
10,UnitPeriodTime,usedTotalCapacityDuration,21,1330
10,PeriodTask,isLead,77,27741
10,PeriodTask,planOrderStep,79,27741
10,ProductRouting,unitId,22,3963
10,ProductInStockingPointInPeriod,releaseInventoryLevelEnd,146,41706
10,ProductInStockingPointInPeriod,inventoryLevelStart,307,41706
10,Product,hasBatchConstraint,16,1991
10,SupplyChainPlanner,productRoutingStepIdWithPvToProductRoutingStep,6,1
10,DependentDemand,productRouting,80,20797
10,PeriodTask,productIdOfOutput,103,27741
10,ProductInStockingPointInPeriod,purchaseOrdersInReleasePisp,159,41706
10,UnitPeriodInfinite,capacityType,0,35
10,ProductInStockingPointInPeriod,purchaseRequestsInDetectPisp,165,41706
10,UnitPeriodInfinite,isFreeAvailableCapacityZero,0,35
10,UnitPeriodTime,childUnitPeriodTimes,20,1330
10,PeriodTask,asLeadNextStepInPeriod,79,27741
10,ProductRoutingStep,planOrderSteps,22,3963
10,ProductRoutingStep,previous,18,3963
10,ProductRoutingStep,isFirst,11,3963
10,ProductRouting,preferenceCost,54,3963
10,PeriodTask,isUnitFreeCapacityUnFillMinOQ,64,27741
10,ProductInStockingPointInPeriod,isUndetectedStockingPoint,133,41706
10,PeriodTask,materialReason,269,27741
10,SupplyChainPlanner,productRoutingSteps,2,2
10,Product,batchConstraintMonthNum,10,1991
10,SupplyChainPlanner,ownerToUnitPeriodInfiniteMap,0,1
10,SupplyChainPlanner,canPurchaseOutsideToProductsMap,7,1
10,SupplyChainPlanner,productRoutings,2,1
10,ProductRoutingStep,hasNoUnits,15,3963
10,ProductRouting,isForProduction,21,3963
10,PeriodTask,start,73,27741
10,ProductInStockingPointInPeriod,unfulfilledReason,185,41706
10,ProductRouting,hasMaxOrderQuantityInKT,47,3963
10,Product,billOfMaterialsAsRM,16,1991
10,ProductStatisticLevel,hasParent,0,1
10,Period,nextPeriodDefinition,0,7
10,SupplyChainPlanner,productRoutingStepIdToPRSORFromPPMap,4,1
10,ProductInStockingPoint,productInStockingPointInPeriods,273,5958
10,ProductInStockingPointInPeriod,materialReason,180,41706
10,ProductInStockingPointInPeriod,allFulfilledDemandQuantityForOG,127,41706
10,ProductRouting,supplyWithLotSize,30,3963
10,SupplyChainPlanner,jointIdToPISPFromDataMap,12,1
10,ProductInStockingPointInPeriod,start,164,41706
10,SupplyChainUnit,supplyChainId,5,195
10,ProductInStockingPoint,isSemiFinishedProductStockingPoint,25,5958
10,ProductRoutingStep,firstPRSOU,10,3963
10,TargetlnventorySpecification,productId,0,3
10,UnitPeriodInfinite,startDate,0,35
10,ProductInStockingPointInPeriod,stockingPointId,142,41706
10,PeriodDefinition,start,1,1
10,UnitPeriodTime,unitAvailability,6,1330
10,UnitPeriodTime,freeCapacityDuration,14,1330
10,Product,minInputQuantity,19,1991
10,ProductRoutingStep,hasNoOutputs,17,3963
10,DailyPeriod,duration,0,35
10,UnitPeriodInfinite,unitName,0,35
10,ProductInStockingPoint,batchConstraintMonthNum,17,5958
10,PeriodTask,leadSameStepInPeriods,792,27741
10,UnitPeriodInfinite,isBeforeStartOfPlanningHorizon,1,35
10,ProductRoutingStepOnUnit,periodTasks,368,3963
10,ProductRouting,hasMinOrderQuantity,206,3963
10,UnitPeriodTime,usedNormalCapacityDuration,7,1330
10,PeriodTask,productRoutingStep,66,27741
10,PeriodTask,isUnitAvailableCapacityZero,134,27741
10,PeriodTask,newSupplies,374,27741
10,SupplyChainPlanner,jointIdToResourceGroupFromPPMap,0,1
10,SupplyChain,parentSupplyChain,0,7
10,ProductInStockingPointInPeriod,isBeforeStartOfPlanningHorizon,140,41706
10,ProductRoutingStepOnUnit,productRoutingStepId,12,3963
10,PeriodTask,product,89,27741
10,ProductInStockingPointInPeriod,startDate,230,41706
10,ProductInStockingPointInPeriod,salesDemands,395,41706
10,UnitPeriodTime,shiftPattern,6,1330
10,UnitPeriodInfinite,unitId,0,35
10,SupplyChainUnit,unitPeriodQuantities,1,195
10,SupplyChainPlanner,jointIdToRoutingStepFromPPMap,0,1
10,ProductRouting,isTransportRouting,8,3963
10,SupplyChainPlanner,parentUnitIdToUnitMap,1,1
10,ProductRouting,hasLotSize,12,3963
10,Period,isBeforeStartOfPlanningHorizon,0,7
10,PeriodDefinitionSequence,end,0,1
10,Period,periodNr,1,7
