sceneId,className,methodName,sumDuration,times
9,PieceStepOnResource,processCanBeFitForCalendar,424,33750
9,PieceStepOnResource,workOrder,102,33750
9,Piece,lastPieceStep,157,33750
9,Piece,isFrozen,220,33750
9,PiecePlanner,piecePieceStepsMap,104,1
9,WorkOrder,quantityDiffer,127,1350
9,Piece,isScheduled,182,33750
9,Piece,assignments,183,33750
9,Piece,firstPieceStep,155,33750
9,KPIManager,kpiValueScheduledRatioForQuantity,0,1
9,KPIResourceUtilization,pieces,4,1
9,PieceStep,previousPieceSteps,127,33750
9,PieceStepOnResource,moveEarlierDuration,328,33750
9,Piece,productName,124,33750
9,PieceStep,assignmentSuffixStartTime,83,33750
9,KPIDeliveryOnTimeRatioForQuantity,pieces,4,1
9,PieceStep,firstPieceStepFlag,105,33750
9,PieceStep,endTogether,62,33750
9,PieceStep,piecePlanner,98,33750
9,PieceStep,assignment,83,33750
9,WorkOrder,finishedQuantity,44,1350
9,PieceStepOnResource,suffixCanBeSplitForCalendar,488,33750
9,Piece,pieceSizeQuantity,87,33750
9,PieceStepOnResource,startTogether,301,33750
9,PieceStep,selectedPieceStepOnResource,246,33750
9,PieceStep,hasWIPLimitFlag,303,33750
9,Piece,isScheduledOnTime,196,33750
9,PieceStepOnResource,resourceGroupId,142,33750
9,PieceStep,previousPieceStepsForPreviousRoutingStepsNr,325,33750
9,PieceStep,assignmentProcessEndTime,85,33750
9,PieceStep,assignmentEndTime,114,33750
9,PieceStep,batchDragLastStepFlag,305,33750
9,KPIScheduledRatioForPieces,value,97,1
9,PieceStepOnResource,resourceGroupName,118,33750
9,PieceStepOnResource,pieceStepOnResourceWithVices,128,33750
9,Piece,workShop,117,33750
9,PieceStepOnResource,suffixOccupyCapacity,553,33750
9,PieceStepOnResource,piecePlanner,116,33750
9,PieceStepOnResource,productionTime,82,33750
9,PieceStep,assignmentProcessEndTimeIgnorePreviousSteps,66,33750
9,KPIManager,kpiValueScheduledRatioForPieces,0,1
9,KPIManager,kpiValueDeliveryOnTimeRatioForQuantity,0,1
9,KPIResourceUtilizationContainsTimeInterval,pieces,4,1
9,PieceStep,moveEarlierForceFlag,69,33750
9,PieceStepOnResource,pieceSizeQuantity,123,33750
9,PieceStep,assignmentPrefixEndTime,85,33750
9,KPIScheduledRatioForQuantity,value,7,1
9,KPIScheduledRatioForWorkOrders,pieces,8,1
9,WorkOrder,freezedQuantity,60,1350
9,PieceStep,hasFeedback,82,33750
9,KPIDeliveryOnTimeRatioForPieces,value,87,1
9,PieceStep,assignmentSuffixEndTime,92,33750
9,PieceStep,hasMoveEarlierRuleFlag,66,33750
9,PieceStepOnResource,operationTypeId,74,33750
9,PieceStep,dragSingleAssignmentFlag,531,33750
9,PieceStep,pieceSizeQuantity,69,33750
9,PieceStepOnResource,nextStepStartWithSuffixEndFlag,721,33750
9,KPIScheduledRatioForPieces,pieces,8,1
9,PieceStepOnResource,productionSpeed,40040,33750
9,WorkOrder,isScheduled,80,1350
9,PieceStepOnResource,previousPieceStep,72,33750
9,PieceStep,lastPieceStepFlag,123,33750
9,Piece,isStarted,107,33750
9,PieceStep,workOrderNr,79,33750
9,PieceStepOnResource,resourceName,107,33750
9,WorkOrder,startedQuantity,43,1350
9,PieceStep,previousRoutingStepsNr,131,33750
9,KPIDeliveryOnTimeRatioForWorkOrders,pieces,5,1
9,PieceStepOnResource,resourceId,117,33750
9,PieceStep,isScheduledOnTime,85,33750
9,PieceStepOnResource,isAllowedByKT,38041,33750
9,KPIManager,kpiValueScheduledRatioForWorkOrders,0,1
9,PieceStepOnResource,moveEarlierForceFlag,298,33750
9,PieceStepOnResource,endTogether,284,33750
9,PieceStepOnResource,suffixDescription,490,33750
9,PieceStep,isFinishedByInitialization,157,33750
9,PieceStep,workShop,120,33750
9,Piece,plannedEndTime,109,33750
9,PieceStep,isFinished,73,33750
9,PieceStep,assignmentStartTime,154,33750
9,KPIScheduledRatioForWorkOrders,value,6,1
9,PieceStep,productName,72,33750
9,PieceStepOnResource,productId,84,33750
9,PieceStep,assignmentProcessStartTime,104,33750
9,Piece,dueDate,115,33750
9,Piece,workShopId,86,33750
9,PieceStep,dragWholeOrderFlag,619,33750
9,PieceStep,sequenceNr,92,33750
9,KPIDeliveryOnTimeRatioForWorkOrders,value,1,1
9,PieceStep,workShopId,150,33750
9,PieceStep,allowedResourcesName,277,33750
9,PieceStep,processDuration,70,33750
9,PieceStepOnResource,leastSplitDuration,487,33750
9,PieceStepOnResource,product,95,33750
9,PieceStep,earliestPossibleStart,200,33750
9,PieceStep,isScheduled,112,33750
9,PieceStep,assignmentPrefixStartTime,106,33750
9,PieceStepOnResource,processCanBeSplitForCalendar,293,33750
9,PieceStep,pieceStepOnResources,207,33750
9,PieceStep,isFrozen,94,33750
9,PieceStep,feedbackAssignment,71,33750
9,PieceStepOnResource,isAllowed,164,33750
9,Piece,pieceSizeQuantityStringForEditPieceSize,127,33750
9,Piece,isFinished,134,33750
9,PieceStep,product,79,33750
9,PieceStep,assignmentProcessStartTimeIgnorePreviousSteps,63,33750
9,PieceStep,dragSinglePieceFlag,331,33750
9,PieceStep,allowedResources,173,33750
9,PieceStep,startTogether,92,33750
9,PieceStep,moveEarlierDuration,69,33750
9,PieceStep,earliestStartTimeForNextStep,151,33750
9,Piece,lastFinishedOperationTypeId,103,33750
9,PieceStep,nextPieceStep,100,33750
9,KPISuffixSetupTotalTime,pieces,5,1
9,KPIDeliveryOnTimeRatioForPieces,pieces,8,1
9,PiecePlanner,pieceStepOnResourceCleanRulesMap,1,1
9,PieceStepOnResource,productName,85,33750
9,Piece,product,121,33750
9,PieceStep,selectedResourceName,68,33750
9,PieceStepOnResource,cleanRules,212,33750
9,PieceStepOnResource,isAllowedByResourceLink,528,33750
9,PieceStepOnResource,hasMoveEarlierRuleFlag,283,33750
9,WorkOrder,isScheduledOnTime,8,1350
9,PieceStep,productId,63,33750
9,PieceStep,wipLimitaionDuration,207,33750
9,CleanRule,maxCleanModeFlag,0,50
9,PieceStep,isStarted,64,33750
9,PieceStep,selectedResource,57,33750
9,Piece,plannedStartTime,111,33750
9,PieceStep,operationTypeId,78,33750
9,PieceStep,feedbackAssignments,125,33750
9,Piece,hasFeedback,223,33750
9,PieceStepOnResource,moveEarlierOverlapDuration,243,33750
9,Piece,pieceSteps,219,33750
9,PieceStep,schedulerTime,110,33750
9,Piece,scheduleTime,202,33750
9,PieceStep,allowedPieceStepOnResources,205,33750
9,KPIPrefixSetupTotalTime,pieces,4,1
9,WorkOrder,lastPieceSteps,99,1350
9,Piece,productId,167,33750
9,PieceStep,previousPieceStep,140,33750
9,PieceStepOnResource,workShopId,95,33750
9,PieceStepOnResource,suffixCanBeFitForCalendar,510,33750
9,PieceStep,batchDragFirstStepFlag,329,33750
9,WorkOrder,pieces,117111,1350
9,CleanRule,minCleanModeFlag,0,50
9,PieceStepOnResource,pieceStepNr,88,33750
9,PiecePlanner,pieceStepPieceStepOnResourcesMap,119,1
9,WorkOrder,scheduledQuantity,107,1350
9,KPIDeliveryOnTimeRatioForQuantity,value,6,1
9,PieceStepOnResource,suffixDuration,598,33750
9,Piece,orderPriority,105,33750
9,KPIManager,kpiValueDeliveryOnTimeRatioForPieces,0,1
9,PieceStep,nextStepStartWithSuffixEndFlag,57,33750
9,KPIScheduledRatioForQuantity,pieces,4,1
9,PieceStep,nextPieceSteps,150,33750
9,KPIManager,kpiValueDeliveryOnTimeRatioForWorkOrders,0,1
