sceneId,className,methodName,sumDuration,times
41,ProductInStockingPointInPeriod,end,313,88242
41,NewSupply,resourceReason,299,75756
41,ProductInStockingPoint,minServiceLevelDemandQuantity,318,12606
41,PeriodTask,baseCostPerQuantity,303,88200
41,ProductInStockingPointInPeriod,detectingReleaseInventories,683,88242
41,ProductInStockingPointInPeriod,inventoryLevelEnd,839,88242
41,PeriodTask,periodTasksOnPRS,476,88200
41,SupplyChainUnit,parentUnit,3,156
41,UnitPeriodTime,isPlannedInfinite,3,1057
41,ProductInStockingPoint,currentInventories,424,12606
41,Product,productionRoutings,69,5407
41,ProductInStockingPointInPeriod,planOrderQuantity,213,88242
41,SupplyChainPlanner,isTestFreeToProductsMap,13,1
41,SupplyChainPlanner,productRoutingIdWithPvToProductRoutingMap,10,1
41,ProductInStockingPointInPeriod,detectingReleaseQuantity,288,88242
41,Period,startDate,0,7
41,Period,canBeReleased,0,7
41,ProductInStockingPoint,isFinishedProductStockingPoint,62,12606
41,SupplyChainUnit,unitAvailabilities,1,156
41,NewSupply,productId,425,75756
41,UnitPeriodTime,availableExtraCapacityDuration,7,1057
41,PeriodTask,minOrderQuantity,169,88200
41,UnitPeriodTime,remainNormalCapacityDuration,7,1057
41,UnitPeriodTime,startDate,5,1057
41,Product,supplyChainId,40,5407
41,ProductInStockingPoint,productionRoutings,63,12606
41,ProductInStockingPoint,stockingPointId,46,12606
41,ProductRouting,billOfMaterials,70,10800
41,SupplyChainPlanner,ownerToNewSuppliesMap,315,1
41,SupplyChainPlanner,ownerToUnitPeriodMap,2,1
41,UnitCapacity,shiftPattern,0,4
41,Product,hasChild,97,5407
41,PeriodTask,isBeforeStartOfPlanningHorizon,436,88200
41,NewSupply,materialReason,456,75756
41,SupplyChainPlanner,ownerToUnitPeriodTimeMap,3,1
41,PeriodDefinition,next,0,1
41,PeriodTask,allowedUnit,256,88200
41,ProductInStockingPointInPeriod,childrenPISPIP,2626,88242
41,PeriodDefinition,lastPeriod,0,1
41,DependentDemand,inventoryInfoFromPispip,195,69300
41,SupplyChainPlanner,pispip2ddMap,560,1
41,PeriodTask,costPerQuantity,105,88200
41,ProductInStockingPointInPeriod,stockingPoint,294,88242
41,ProductRouting,periodTasks,154,10800
41,ProductRoutingStepOnUnit,allowedUnitName,51,12600
41,ProductInStockingPointInPeriod,detectInventoryLevelEnd,287,88242
41,ProductRoutingStep,hasNoInputAndOutputs,23,12600
41,ProductInStockingPointInPeriod,releasePISPIP,1386,88242
41,UnitPeriodInfinite,duration,0,35
41,ProductInStockingPointInPeriod,targetlnventorySpecification,440,88242
41,UnitPeriodTime,parentUnitId,2,1057
41,ProductInStockingPoint,isMaterialConstraint,20,12606
41,SupplyChainPlanner,isFinishedProductInGroupToProductsMap,14,1
41,UnitPeriodTime,isRemainNormalCapacityZero,2,1057
41,PeriodTask,pispipsForDependentDemand,576,88200
41,ProductInStockingPoint,targetInventorySpecifications,85,12606
41,SupplyChainPlanner,productRoutingIdWithoutPvToProductRoutingMap,2,1
41,PeriodTask,quantityOut,351,88200
41,Product,mapOfMaterialDuration,367,5407
41,ProductStatisticLevel,parentStatisticAttribute,0,1
41,UnitPeriodTime,availableNormalCapacityDuration,8,1057
41,InputOutputProduct,productRoutingStepId,169,20700
41,ProductInStockingPointInPeriod,next,408,88242
41,SupplyChainUnit,childrenUnit,1,156
41,ProductRoutingStepOnUnit,allowedUnitId,94,12600
41,Product,childrenProduct,81377,5407
41,SupplyChainUnit,oee,5,156
41,ProductInStockingPoint,salesOrders,79,12606
41,SupplyChainPlanner,productIdToProductsMap,27,1
41,ProductRouting,lotSize,26,10800
41,UnitPeriodTime,capacityLoadPercentage,9,1057
41,ProductInStockingPoint,originalSalesDemandQuantityForN2,43,12606
41,ProductInStockingPoint,originalSalesDemandQuantityForN3,39,12606
41,ProductInStockingPoint,stockingPointName,61,12606
41,ProductInStockingPoint,originalSalesDemandQuantityForN1,36,12606
41,UnitPeriodInfinite,childUnitPeriods,0,35
41,ProductInStockingPointInPeriod,minInputQuantity,288,88242
41,ProductRoutingStep,isLast,158,12600
41,UnitPeriodTime,capacityType,2,1057
41,ProductInStockingPointInPeriod,laterFulfilledDemandQuantityForOG,611,88242
41,UnitPeriodTime,start,12,1057
41,SupplyChainPlanner,end,0,1
41,UnitPeriodTime,usedTotalCapacityDuration,348,1057
