model,scene,nodeType,methodName,totalTime,execCount
supplychain-planner,性能测试1/3,UnitPeriodTime,calcMaintenanceFactor,2381,1632
supplychain-planner,性能测试1/3,Product,calcOrderCarryOver,3,5
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcEnd,36,40
supplychain-planner,性能测试1/3,UnitPeriodTime,calcMaximumLoadPercentage,1211,1520
supplychain-planner,性能测试1/3,Product,calcInsertOrderDemandsForN1,11,5
supplychain-planner,性能测试1/3,Product,calcDetectInventoryQuantity,2,5
supplychain-planner,性能测试1/3,Product,calcInsertOrderDemandsForN2,4,5
supplychain-planner,性能测试1/3,Product,calcTotalLeadTime,2,5
supplychain-planner,性能测试1/3,Product,calcInsertOrderDemandsForN3,7,5
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcCurrencyInPeriod,4,40
supplychain-planner,性能测试1/3,SupplyChainPlanner,calcEndOfFrozenPeriod,23,1
supplychain-planner,性能测试1/3,Period,calcCanBeReleased,13,8
supplychain-planner,性能测试1/3,Product,calcDeadInventoryQuantity,3,5
supplychain-planner,性能测试1/3,SupplyChainUnit,calcLevel,332,195
supplychain-planner,性能测试1/3,UnitPeriodTime,calcUtilization,2412,1632
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcMinCapacity,42,72
supplychain-planner,性能测试1/3,BusinessKPI,calcPeriod,33,17
supplychain-planner,性能测试1/3,UnitPeriodTime,calcOverLoadCapacity,609,3033
supplychain-planner,性能测试1/3,Product,calcChildren,14,5
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcPreviousPeriodLastShiftDay,9,40
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcUnitPeriodMutexInPeriodHasUsedCapacity,7,40
supplychain-planner,性能测试1/3,Product,calcTargetInventoryEnd,2,5
supplychain-planner,性能测试1/3,SupplyChainUnit,calcQuantityToProcess,318,195
supplychain-planner,性能测试1/3,PeriodDefinition,calcNextPeriodDefinition,2,1
supplychain-planner,性能测试1/3,SupplyChainUnit,calcHasChildUsedInProductRoutingStep,132,195
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcOverLoadCapacity,9,40
supplychain-planner,性能测试1/3,Period,calcUnitPeriods,3,8
supplychain-planner,性能测试1/3,UnitPeriodTime,calcUnitAvailabilitiesOnOwner,550,1632
supplychain-planner,性能测试1/3,UnitAvailability,calcShiftPattern,34,14
supplychain-planner,性能测试1/3,StockingPoint,calcCurrency,17,8
supplychain-planner,性能测试1/3,UnitPeriodTime,calcSupplyChainPlanner,1449,1520
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcHasUnitCost,43,40
supplychain-planner,性能测试1/3,Product,calcTotalQuantityDemandN1,5,5
supplychain-planner,性能测试1/3,UnitPeriodTime,calcMaxCapacity,130,1520
supplychain-planner,性能测试1/3,PeriodDefinition,calcLastPeriod,7,2
supplychain-planner,性能测试1/3,SupplyChainPlanner,calcRootSupplyChain,19,1
supplychain-planner,性能测试1/3,Product,calcTotalQuantityDemandN3,5,5
supplychain-planner,性能测试1/3,Product,calcTotalQuantityDemandN2,4,5
supplychain-planner,性能测试1/3,UnitPeriodTime,calcNrOfTemporaryClose,112,1520
supplychain-planner,性能测试1/3,Period,calcTotalCapacity,3,8
supplychain-planner,性能测试1/3,Period,calcIsWithinKPIHorizon,19,8
supplychain-planner,性能测试1/3,Period,calcProductionQuantity,3,8
supplychain-planner,性能测试1/3,SupplyChainUnit,calcUnitPeriods,1568,390
supplychain-planner,性能测试1/3,UnitPeriodTime,calcTotalMaxCapacity,115,1520
supplychain-planner,性能测试1/3,Product,calcNeedDetect,6,5
supplychain-planner,性能测试1/3,UnitPeriodTime,calcIsFreeCapacityZero,1960,2312
supplychain-planner,性能测试1/3,Product,calcAverageQuantityDemandInMonth,1,5
supplychain-planner,性能测试1/3,Period,calcPreviousPeriodDefinition,6,8
supplychain-planner,性能测试1/3,UnitPeriodTime,calcEnd,1713,1520
supplychain-planner,性能测试1/3,Period,calcTotalDaysInYearAsReal,10,8
supplychain-planner,性能测试1/3,Period,calcTimePriority,35,16
supplychain-planner,性能测试1/3,SupplyChainPlanner,calcStart,12,1
supplychain-planner,性能测试1/3,Product,calcOrderRemain,5,5
supplychain-planner,性能测试1/3,UnitPeriodTime,calcTotalAvailableCapacity,3136,3039
supplychain-planner,性能测试1/3,Period,calcActiveOptimizerParameter,13,8
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcVariableCostPerHour,10,40
supplychain-planner,性能测试1/3,UnitPeriodTime,calcQuantityToProcess,274,1520
supplychain-planner,性能测试1/3,SupplyChainUnit,calcIsFinite,337,384
supplychain-planner,性能测试1/3,UnitPeriodTime,calcUnitPeriodMutexInPeriodHasUsedCapacity,215,1520
supplychain-planner,性能测试1/3,Period,calcSalesDemandQuantity,6,8
supplychain-planner,性能测试1/3,StockingPoint,calcIsRawMaterialStockingPoint,5,8
supplychain-planner,性能测试1/3,Period,calcPeriodMonth,10,8
supplychain-planner,性能测试1/3,Period,calcPostponedFulfillmentQuantity,7,8
supplychain-planner,性能测试1/3,Period,calcTotalUsedCapacity,4,8
supplychain-planner,性能测试1/3,StockingPoint,calcIsFinishedProductStockingPoint,6,8
supplychain-planner,性能测试1/3,PeriodDefinition,calcNrOfPeriods,4,2
supplychain-planner,性能测试1/3,SupplyChainUnit,calcWorkshopId,334,195
supplychain-planner,性能测试1/3,PeriodDefinition,calcStart,1,1
supplychain-planner,性能测试1/3,SupplyChainPlanner,calcStartOfHistorical,7,1
supplychain-planner,性能测试1/3,ProductLevel,calcProducts,38,3
supplychain-planner,性能测试1/3,SupplyChainUnit,calcStockingPointUnits,175,195
supplychain-planner,性能测试1/3,SupplyChain,calcPlanOrders,6,6
supplychain-planner,性能测试1/3,StockingPoint,calcStockingPointCapacities,10,8
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcVariableCost,6,40
supplychain-planner,性能测试1/3,StockingPoint,calcStockingPointInSalesSegments,9,8
supplychain-planner,性能测试1/3,Period,calcResourceUtilization,3,8
supplychain-planner,性能测试1/3,UnitPeriodTime,calcStart,3484,1520
supplychain-planner,性能测试1/3,UnitPeriodTime,calcIsBeforeStartOfPlanningHorizon,366,1520
supplychain-planner,性能测试1/3,BusinessKPI,calcAllProductionQuantity,9,1
supplychain-planner,性能测试1/3,Product,calcIsConventionalProduct,5,5
supplychain-planner,性能测试1/3,Product,calcFeedbackQuantity,1,5
supplychain-planner,性能测试1/3,Product,calcIsActiveProductLevel,3,5
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcVariableCostPerQuantity,10,40
supplychain-planner,性能测试1/3,Period,calcInterestRate,17,8
supplychain-planner,性能测试1/3,SupplyChainUnit,calcHasCapacityType,319,195
supplychain-planner,性能测试1/3,Product,calcPurchaseRequestQuantity,2,5
supplychain-planner,性能测试1/3,SupplyChainUnit,calcHasProductRoutingIncludingChildren,78,195
supplychain-planner,性能测试1/3,Period,calcStartDate,12,8
