sceneId,className,methodName,sumDuration,times
41,ProductInStockingPointInPeriod,end,299,88242
41,NewSupply,resourceReason,284,75756
41,ProductInStockingPoint,minServiceLevelDemandQuantity,113,12606
41,PeriodTask,baseCostPerQuantity,353,88200
41,ProductInStockingPointInPeriod,detectingReleaseInventories,355,88242
41,ProductInStockingPointInPeriod,inventoryLevelEnd,1145,88242
41,PeriodTask,periodTasksOnPRS,385,88200
41,SupplyChainUnit,parentUnit,5,156
41,UnitPeriodTime,isPlannedInfinite,4,1057
41,ProductInStockingPoint,currentInventories,126,12606
41,Product,productionRoutings,52,5407
41,ProductInStockingPointInPeriod,planOrderQuantity,245,88242
41,SupplyChainPlanner,isTestFreeToProductsMap,15,1
41,SupplyChainPlanner,productRoutingIdWithPvToProductRoutingMap,8,1
41,ProductInStockingPointInPeriod,detectingReleaseQuantity,488,88242
41,Period,startDate,0,7
41,Period,canBeReleased,0,7
41,ProductInStockingPoint,isFinishedProductStockingPoint,82,12606
41,SupplyChainUnit,unitAvailabilities,2,156
41,NewSupply,productId,391,75756
41,UnitPeriodTime,availableExtraCapacityDuration,5,1057
41,PeriodTask,minOrderQuantity,214,88200
41,UnitPeriodTime,remainNormalCapacityDuration,6,1057
41,UnitPeriodTime,startDate,1,1057
41,Product,supplyChainId,62,5407
41,ProductInStockingPoint,productionRoutings,74,12606
41,ProductInStockingPoint,stockingPointId,35,12606
41,ProductRouting,billOfMaterials,92,10800
41,SupplyChainPlanner,ownerToNewSuppliesMap,284,1
41,SupplyChainPlanner,ownerToUnitPeriodMap,2,1
41,UnitCapacity,shiftPattern,0,4
41,Product,hasChild,61,5407
41,PeriodTask,isBeforeStartOfPlanningHorizon,414,88200
41,NewSupply,materialReason,251,75756
41,SupplyChainPlanner,ownerToUnitPeriodTimeMap,2,1
41,PeriodDefinition,next,0,1
41,PeriodTask,allowedUnit,269,88200
41,ProductInStockingPointInPeriod,childrenPISPIP,2127,88242
41,PeriodDefinition,lastPeriod,0,1
41,DependentDemand,inventoryInfoFromPispip,217,69300
41,SupplyChainPlanner,pispip2ddMap,336,1
41,PeriodTask,costPerQuantity,486,88200
41,ProductInStockingPointInPeriod,stockingPoint,278,88242
41,ProductRouting,periodTasks,123,10800
41,ProductRoutingStepOnUnit,allowedUnitName,55,12600
41,ProductInStockingPointInPeriod,detectInventoryLevelEnd,388,88242
41,ProductRoutingStep,hasNoInputAndOutputs,37,12600
41,ProductInStockingPointInPeriod,releasePISPIP,1523,88242
41,UnitPeriodInfinite,duration,0,35
41,ProductInStockingPointInPeriod,targetlnventorySpecification,464,88242
41,UnitPeriodTime,parentUnitId,3,1057
41,ProductInStockingPoint,isMaterialConstraint,30,12606
41,SupplyChainPlanner,isFinishedProductInGroupToProductsMap,12,1
41,UnitPeriodTime,isRemainNormalCapacityZero,4,1057
41,PeriodTask,pispipsForDependentDemand,531,88200
41,ProductInStockingPoint,targetInventorySpecifications,94,12606
41,SupplyChainPlanner,productRoutingIdWithoutPvToProductRoutingMap,2,1
41,PeriodTask,quantityOut,372,88200
41,Product,mapOfMaterialDuration,143,5407
41,ProductStatisticLevel,parentStatisticAttribute,0,1
41,UnitPeriodTime,availableNormalCapacityDuration,17,1057
41,InputOutputProduct,productRoutingStepId,140,20700
41,ProductInStockingPointInPeriod,next,422,88242
41,SupplyChainUnit,childrenUnit,3,156
41,ProductRoutingStepOnUnit,allowedUnitId,78,12600
41,Product,childrenProduct,82160,5407
41,SupplyChainUnit,oee,2,156
41,ProductInStockingPoint,salesOrders,80,12606
41,SupplyChainPlanner,productIdToProductsMap,23,1
41,ProductRouting,lotSize,50,10800
41,UnitPeriodTime,capacityLoadPercentage,11,1057
41,ProductInStockingPoint,originalSalesDemandQuantityForN2,38,12606
41,ProductInStockingPoint,originalSalesDemandQuantityForN3,52,12606
41,ProductInStockingPoint,stockingPointName,61,12606
41,ProductInStockingPoint,originalSalesDemandQuantityForN1,59,12606
41,UnitPeriodInfinite,childUnitPeriods,1,35
41,ProductInStockingPointInPeriod,minInputQuantity,753,88242
41,ProductRoutingStep,isLast,29,12600
41,UnitPeriodTime,capacityType,3,1057
41,ProductInStockingPointInPeriod,laterFulfilledDemandQuantityForOG,551,88242
41,UnitPeriodTime,start,6,1057
41,SupplyChainPlanner,end,0,1
41,UnitPeriodTime,usedTotalCapacityDuration,95,1057
41,PeriodTask,isLead,301,88200
41,PeriodTask,planOrderStep,772,88200
41,ProductRouting,unitId,32,10800
41,ProductInStockingPointInPeriod,releaseInventoryLevelEnd,347,88242
41,ProductInStockingPointInPeriod,inventoryLevelStart,635,88242
41,Product,hasBatchConstraint,93,5407
41,SupplyChainPlanner,productRoutingStepIdWithPvToProductRoutingStep,12,1
41,DependentDemand,productRouting,341,69300
41,PeriodTask,productIdOfOutput,342,88200
41,ProductInStockingPointInPeriod,purchaseOrdersInReleasePisp,316,88242
41,UnitPeriodInfinite,capacityType,0,35
41,ProductInStockingPointInPeriod,purchaseRequestsInDetectPisp,408,88242
41,UnitPeriodInfinite,isFreeAvailableCapacityZero,0,35
41,UnitPeriodTime,childUnitPeriodTimes,24,1057
41,PeriodTask,asLeadNextStepInPeriod,461,88200
41,ProductRoutingStep,planOrderSteps,78,12600
41,ProductRoutingStep,previous,67,12600
41,ProductRoutingStep,isFirst,37,12600
41,ProductRouting,preferenceCost,164,10800
41,PeriodTask,isUnitFreeCapacityUnFillMinOQ,218,88200
41,ProductInStockingPointInPeriod,isUndetectedStockingPoint,292,88242
41,PeriodTask,materialReason,874,88200
41,SupplyChainPlanner,productRoutingSteps,6,2
41,Product,batchConstraintMonthNum,32,5407
41,SupplyChainPlanner,ownerToUnitPeriodInfiniteMap,0,1
41,SupplyChainPlanner,canPurchaseOutsideToProductsMap,16,1
41,SupplyChainPlanner,productRoutings,5,1
41,ProductRoutingStep,hasNoUnits,45,12600
41,ProductRouting,isForProduction,72,10800
41,PeriodTask,start,266,88200
41,ProductInStockingPointInPeriod,unfulfilledReason,363,88242
41,ProductRouting,hasMaxOrderQuantityInKT,115,10800
41,Product,billOfMaterialsAsRM,47,5407
41,ProductStatisticLevel,hasParent,0,1
41,Period,nextPeriodDefinition,0,7
41,SupplyChainPlanner,productRoutingStepIdToPRSORFromPPMap,53,1
41,ProductInStockingPoint,productInStockingPointInPeriods,1314,12606
41,ProductInStockingPointInPeriod,materialReason,391,88242
41,ProductInStockingPointInPeriod,allFulfilledDemandQuantityForOG,280,88242
41,ProductRouting,supplyWithLotSize,94,10800
41,SupplyChainPlanner,jointIdToPISPFromDataMap,32,1
41,ProductInStockingPointInPeriod,start,428,88242
41,SupplyChainUnit,supplyChainId,1,156
41,ProductInStockingPoint,isSemiFinishedProductStockingPoint,85,12606
41,ProductRoutingStep,firstPRSOU,46,12600
41,TargetlnventorySpecification,productId,0,3
41,UnitPeriodInfinite,startDate,0,35
41,ProductInStockingPointInPeriod,stockingPointId,702,88242
41,PeriodDefinition,start,1,1
41,UnitPeriodTime,unitAvailability,9,1057
41,UnitPeriodTime,freeCapacityDuration,8,1057
41,Product,minInputQuantity,72,5407
41,ProductRoutingStep,hasNoOutputs,43,12600
41,DailyPeriod,duration,0,35
41,UnitPeriodInfinite,unitName,0,35
41,ProductInStockingPoint,batchConstraintMonthNum,57,12606
41,PeriodTask,leadSameStepInPeriods,1815,88200
41,UnitPeriodInfinite,isBeforeStartOfPlanningHorizon,0,35
41,ProductRoutingStepOnUnit,periodTasks,217,12600
41,ProductRouting,hasMinOrderQuantity,29,10800
41,UnitPeriodTime,usedNormalCapacityDuration,2,1057
41,PeriodTask,productRoutingStep,278,88200
41,PeriodTask,isUnitAvailableCapacityZero,788,88200
41,PeriodTask,newSupplies,1225,88200
41,SupplyChainPlanner,jointIdToResourceGroupFromPPMap,0,1
41,SupplyChain,parentSupplyChain,0,7
41,ProductInStockingPointInPeriod,isBeforeStartOfPlanningHorizon,348,88242
41,ProductRoutingStepOnUnit,productRoutingStepId,39,12600
41,PeriodTask,product,251,88200
41,ProductInStockingPointInPeriod,startDate,710,88242
41,ProductInStockingPointInPeriod,salesDemands,421,88242
41,UnitPeriodInfinite,unitId,0,35
41,UnitPeriodTime,shiftPattern,3,1057
41,SupplyChainUnit,unitPeriodQuantities,3,156
41,SupplyChainPlanner,jointIdToRoutingStepFromPPMap,0,1
41,ProductRouting,isTransportRouting,32,10800
41,SupplyChainPlanner,parentUnitIdToUnitMap,0,1
41,ProductRouting,hasLotSize,32,10800
41,Period,isBeforeStartOfPlanningHorizon,0,7
41,PeriodDefinitionSequence,end,0,1
41,Period,periodNr,0,7
41,SupplyChainPlanner,jointIdToPISPFromStatisticMap,0,1
41,Period,next,0,7
41,ProductInStockingPoint,totalOriginalSalesDemandQuantity,63,12606
41,PeriodTask,productNameOfOutput,246,88200
41,ProductRouting,isDetectionRouting,27,10800
41,PeriodTask,usedCapacity,408,88200
41,SupplyChainPlanner,unitIdToSupplyChainUnitsFromPPMap,1,1
41,ProductInStockingPointInPeriod,dependentDemands,1054,157542
41,ProductInStockingPointInPeriod,isSemiFinishedProductStockingPoint,237,88242
41,ProductRouting,scp,34,10800
41,PeriodTask,periodTaskInOwner,317,88200
41,ProductInStockingPoint,salesDemands,65,12606
41,PeriodTask,asLeadSameStepInPeriod,1173,88200
41,UnitPeriodTime,isBeforeStartOfPlanningHorizon,7,1057
41,NewSupply,quantity,183,75756
41,ProductInStockingPointInPeriod,purchaseRequestReleaseQuantity,291,88242
41,UnitPeriodTime,duration,6,1057
41,ProductInStockingPointInPeriod,salesDemandQuantity,704,88242
41,StockingPoint,isFinishedProductStockingPoint,0,8
41,DailyPeriod,endDate,0,35
41,Product,allProductRoutings,63,5407
41,ProductRouting,planOrders,50,10800
41,DependentDemand,productId,327,69300
41,PeriodTask,hasLotSizeInThisPeriod,230,88200
41,SupplyChainPlanner,periods,0,1
41,SupplyChainPlanner,productIdToProductsFromAutoMap,0,1
41,DependentDemand,inventoryInfo,263,69300
41,SupplyChainUnit,defaultShiftPattern,3,156
41,ProductRouting,productRoutingSteps,100,21600
41,ProductInStockingPointInPeriod,stockingPointName,527,88242
41,SupplyChainPlanner,jointIdToProductRoutingStepOnResourceFromPPMap,76,1
41,ProductInStockingPointInPeriod,resourceReason,633,88242
41,PeriodTask,productionCycleTime,376,88200
41,UnitPeriodInfinite,start,0,35
41,SupplyChainPlanner,iopMap,100,2
41,ProductRoutingStep,outputProducts,144,23400
41,ProductRouting,supplyWithMOQ,53,10800
41,ProductRoutingStep,productRoutingStepOnUnits,107,22500
41,BillOfMaterial,rawMaterial,20,4500
41,SupplyChainPlanner,productRoutingIdToProductRoutingStepOnResourceFromPPMap,51,1
41,SupplyChainPlanner,unitIdToSupplyChainUnitsFromAutoMap,0,1
41,DependentDemand,inventoryFlagGroup,549,69300
41,PeriodTask,freeCapacity,653,88200
41,DependentDemand,dependentDemandSet,251,69300
41,ProductInStockingPointInPeriod,isFinishedProductStockingPoint,229,88242
41,PeriodTask,resourceFlag,1216,88200
41,ProductRouting,minOrderQuantity,21,10800
41,ProductInStockingPointInPeriod,productId,397,88242
41,SupplyChainPlanner,jointIdToProductRoutingFromPPMap,2,1
41,PeriodTask,asLeadPreviousStepInPeriod,510,88200
41,SupplyChainPlanner,prsMap,51,2
41,SupplyChainPlanner,unitPeriods,1,1
41,ProductStatisticLevel,level,0,1
41,UnitPeriodTime,unitId,6,1057
41,ProductInStockingPointInPeriod,inventorySupplyQuantity,981,88242
41,UnitPeriodTime,usedExtraCapacityDuration,2,1057
41,UnitPeriodInfinite,hasChildren,0,35
41,SupplyChainPlanner,productInStockingPoints,10,2
41,ProductInStockingPointInPeriod,dependentDemandQuantity,624,88242
41,SupplyChainPlanner,pispip2NsMap,315,1
41,SupplyChainPlanner,supplyChainUnits,0,1
41,SupplyChainPlanner,productIdToProductsFromBOMMap,32,1
41,UnitPeriodTime,isFreeAvailableCapacityZero,10,1057
41,UnitPeriodTime,nrOfUnitsOpen,6,1057
41,SupplyChainPlanner,jointIdToResourceFromPPMap,1,1
41,NewSupply,materialFlag,227,75756
41,ProductInStockingPointInPeriod,isRawMaterialStockingPoint,215,88242
41,ProductInStockingPointInPeriod,fulfilledSalesDemandQuantity,234,88242
41,ProductInStockingPointInPeriod,supplyQuantity,565,88242
41,PeriodTask,end,829,88200
41,InputOutputProduct,isMaterialConstraint,64,20700
41,PeriodTask,unitId,531,88200
41,ProductRouting,hasMinOrderQuantityInKT,128,10800
41,PeriodTask,quantityToProcess,559,88200
41,ProductInStockingPoint,isRawMaterialStockingPoint,60,12606
41,InputOutputProduct,product,112,20700
41,UnitPeriodInfinite,endDate,0,35
41,ProductRouting,isLeadRouting,61,10800
41,PeriodDefinition,end,0,1
41,Product,statisticProductInStockingPoints,169,5409
41,PeriodTask,startDate,396,88200
41,DependentDemand,firstPriority,192,69300
41,PeriodTask,isLastPeriodTask,259,88200
41,Product,statisticStockingPoints,145,5409
41,ProductInStockingPoint,needsToBeSupplied,36,12606
41,Product,inspectionDuration,96,5407
41,ProductStatisticLevel,productParentStatisticLevel,0,1
41,DependentDemand,inventoryFlagFromPispip,248,69300
41,PeriodTask,endDate,327,88200
41,ProductRoutingStepOnUnit,allowedUnitInfo,78,12600
41,ProductInStockingPoint,monthlyDeliveredQuantityN,71,12606
41,ProductInStockingPointInPeriod,purchaseOrdersInDetectPisp,443,88242
41,ProductInStockingPointInPeriod,inventoryFlag,1442,88242
41,UnitPeriodTime,hasChildren,5,1057
41,UnitPeriodInfinite,periodTasks,37,35
41,ProductInStockingPointInPeriod,hasChildren,272,88242
41,ProductInStockingPoint,allProductRoutings,51,12606
41,UnitPeriodInfinite,isRemainNormalCapacityZero,0,35
41,SupplyChainPlanner,pispMap,90,2
41,ProductRoutingStepOnUnit,productCycleTime,84,12600
41,UnitPeriodTime,isAvailableTotalCapacityZero,2,1057
41,PeriodTask,next,1659,88200
41,ProductInStockingPoint,currentInventoryQuantity,69,12606
41,ProductRoutingStep,hasNoInputs,57,12600
41,UnitPeriodInfinite,end,0,35
41,StockingPoint,isSemiFinishedProductStockingPoint,0,8
41,UnitPeriodTime,extraCapacityDuration,59,1057
41,ProductRouting,hasNoSteps,28,10800
41,ProductRoutingStepOnUnit,isLead,69,12600
41,PeriodTask,totalQuantityOfSameStepInPeriod,426,88200
41,SupplyChainUnit,hasChildren,1,156
41,UnitPeriodTime,periodTasks,55,1057
41,PeriodTask,maxOrderQuantity,183,88200
41,UnitPeriodInfinite,capacityLoadPercentage,0,35
41,UnitPeriodInfinite,isPlannedInfinite,0,35
41,ProductInStockingPointInPeriod,productName,456,88242
41,SupplyChainPlanner,routingNrToRoutingStepFromPPMap,0,1
41,ProductInStockingPointInPeriod,targetInventoryLevel,1825,88242
41,PeriodDefinitionSequence,start,0,1
41,InputOutputProduct,scp,86,20700
41,ProductInStockingPointInPeriod,newSupplyQuantity,503,88242
41,Period,periodDefinitionSequence,0,7
