model,scene,nodeType,methodName,totalTime,execCount
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcPurchaseOrderSuppliesFulfilledDemands,17856,41664
supplychain-planner,性能测试1/3,PeriodTask,calcMinusFlag,5714,15824
supplychain-planner,性能测试1/3,NewSupply,calcResourceReason,6199,7912
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcAllProductionRoutings,185652,83188
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcPhysicalInventoryLevelStart,18628,41664
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriodForPP,calcNext,95493,55552
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcReplaceNewSupplyInfo,14276,41664
supplychain-planner,性能测试1/3,DependentDemand,calcQuantity,3254,3948
supplychain-planner,性能测试1/3,PlanOrder,calcIsBeforeStartOfPlanningHorizon,7285,13853
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcHasLaterFulfilledDemandForOG,16814,41664
supplychain-planner,性能测试1/3,ProductRoutingInMonth,calcToPlant,647,987
supplychain-planner,性能测试1/3,SupplyChainUnit,calcLevel,339,195
supplychain-planner,性能测试1/3,ProductRoutingInMonth,calcProductRoutingInDaysOnOwner,23074,987
supplychain-planner,性能测试1/3,UnitPeriodTime,calcOverLoadCapacity,516,2654
supplychain-planner,性能测试1/3,ProductRoutingInDay,calcUnitId,132846,34545
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcDependentDemands,67874,83328
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcPreviousPeriodLastShiftDay,8,35
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcUnitPeriodMutexInPeriodHasUsedCapacity,4,35
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcIsImbalance,19019,11904
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcIsSemiProductBetweenGroup,3659,5952
supplychain-planner,性能测试1/3,PeriodTask,calcMoqFlg,3554,15824
supplychain-planner,性能测试1/3,InputProduct,calcHasLikToProductInStockingPoint,645,1979
supplychain-planner,性能测试1/3,PeriodTask,calcSupplyChainPlanner,5307,7912
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcInventorySupplyQuantity,19346,41664
supplychain-planner,性能测试1/3,ProductRoutingStepOnUnit,calcIsExpired,1501,1979
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcMonthlyInnerNewSupplyQuantityN,7906,11904
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcOverLoadCapacity,7,35
supplychain-planner,性能测试1/3,PeriodTask,calcRequiredCapacity,4511,7912
supplychain-planner,性能测试1/3,UnitPeriodTime,calcUnitAvailabilitiesOnOwner,1125,1428
supplychain-planner,性能测试1/3,PeriodTask,calcResourceReason,16326,31648
supplychain-planner,性能测试1/3,UnitPeriodTime,calcSupplyChainPlanner,1284,1330
supplychain-planner,性能测试1/3,ProductRoutingStep,calcHasMultipleAllowedUnit,631,1979
supplychain-planner,性能测试1/3,PeriodTask,calcRequiredInventoryForPostProcessing,4271,15824
supplychain-planner,性能测试1/3,BillOfMaterial,calcProduct,2973,1984
supplychain-planner,性能测试1/3,PlanOrder,calcOutputs,20314,13853
supplychain-planner,性能测试1/3,UnitPeriodTime,calcNrOfTemporaryClose,100,1330
supplychain-planner,性能测试1/3,Period,calcIsWithinKPIHorizon,17,7
supplychain-planner,性能测试1/3,PlanOrder,calcLotSize,21322,13853
supplychain-planner,性能测试1/3,Period,calcProductionQuantity,767777,6916
supplychain-planner,性能测试1/3,ProductRoutingInMonth,calcInputs,1835,987
supplychain-planner,性能测试1/3,UnitPeriodTime,calcIsFreeCapacityZero,2042,2023
supplychain-planner,性能测试1/3,DependentDemand,calcInvalidRoutingFlag,2905,3948
supplychain-planner,性能测试1/3,DependentDemand,calcReplacePriorityLevel,2851,3948
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcHasProductRoutingForProduction,9211,7926
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcCumulativePISPs,24715,6939
supplychain-planner,性能测试1/3,Period,calcPreviousPeriodDefinition,5,7
supplychain-planner,性能测试1/3,Period,calcTotalDaysInYearAsReal,8,7
supplychain-planner,性能测试1/3,InputProduct,calcQuantity,525,1979
supplychain-planner,性能测试1/3,Period,calcTimePriority,30,14
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriodForPP,calcInventoryLevelEnd,7755,27776
supplychain-planner,性能测试1/3,PlanOrder,calcPISPIP,19437,21765
supplychain-planner,性能测试1/3,PlanOrder,calcHasMinOQInThisPeriod,3502,13853
supplychain-planner,性能测试1/3,PlanOrder,calcIsInnerTransfer,6888,13853
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcMonthlyInventoryEndN,6743,11904
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcEnd,308719,41664
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcLaterFulfilledSalesDemands,16252,41664
supplychain-planner,性能测试1/3,ProductRouting,calcIsInUse,1273,3957
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcMaxCapacity,16181,41664
supplychain-planner,性能测试1/3,Period,calcTotalUsedCapacity,2997,476
supplychain-planner,性能测试1/3,PeriodDefinition,calcStart,1,1
supplychain-planner,性能测试1/3,InputProduct,calcFactor,3146,3958
supplychain-planner,性能测试1/3,SupplyChain,calcPlanOrders,9500,8
supplychain-planner,性能测试1/3,StockingPoint,calcStockingPointCapacities,8,8
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcFulfilledSalesDemandQuantityForN,6968,11904
supplychain-planner,性能测试1/3,ProductInStockingPoint,targetInventorySpecifications,4079,5952
supplychain-planner,性能测试1/3,NewSupply,calcNewSupplyInfo,2964,11860
supplychain-planner,性能测试1/3,PlanOrderStep,calcPreviousProductRoutingStep,4953,13853
supplychain-planner,性能测试1/3,Product,calcFeedbackQuantity,684,1989
supplychain-planner,性能测试1/3,Period,calcInterestRate,14,7
